name,rating,title,body,date,date_raw,issue_list,is_business,churn_score,churn_risk_level
Bazil,4,No comment,No comment But if it will be possible to cash out instantly,2026-03-27 08:34:45+00:00,6 days ago,[],False,0,LOW RISK (Healthy)
Isahinvest,4,Nice,"Nice, good, fast , and secure easy and comfortable to use 👍",2026-03-27 08:15:14+00:00,6 days ago,[],False,0,LOW RISK (Healthy)
To The Whistle Ltd,5,This is a game changer for small business,"Very user friendly, easy to use and most importantly at affordable rates",2026-03-27 05:49:53+00:00,6 days ago,[],True,0,LOW RISK (Healthy)
Jawed Akhtar,5,Brilliant way to improve your business…,Brilliant way to improve your business trust reliable 💯recommended,2026-03-27 05:30:38+00:00,6 days ago,[],False,0,LOW RISK (Healthy)
Anthony Ballenger,1,i applied to open an account to accept…,"i applied to open an account to accept payments with this company on Feb 9th almost 2 months ago, they sent me a email for verififcation asking for company details etc, i provided everything they requested and for two months i have heard nothing, ive submitted countless requests through the accounts dashboard to customer service, and LITERALLY EVERY SINGLE TIME i get an email that says THERE IS A DELAY IN PROCEESSING and noone gives any answers they just ignore you and send repeated emails that say the exact same thing without addresssing you at all If they cant even onboard an account in two months, and then the staff always ignore you and just send you form letters and close the chats, how do they treat their actual clients",2026-03-27 05:28:55+00:00,6 days ago,"['Support failure', 'Technical/Hardware']",False,60,HIGH RISK (Churn Likely)
robert cowie,5,Rapid payouts,"Rapid payouts, reasonable cost",2026-03-27 03:52:27+00:00,7 days ago,['Pricing/Refunds'],False,0,LOW RISK (Healthy)
martin hanson,5,amazing does the job what I need,amazing does the job what I need,2026-03-27 00:06:16+00:00,7 days ago,[],False,0,LOW RISK (Healthy)
Anthony Crilly,5,Great good good,,2026-03-26 23:53:22+00:00,7 days ago,[],False,0,LOW RISK (Healthy)
Joanne Gribble,5,Easy to use quick payout everything I…,Easy to use quick payout everything I need,2026-03-26 23:50:04+00:00,7 days ago,[],False,0,LOW RISK (Healthy)
AZM ZUBAIDUL HAQUE,4,SumUp is good but charges bit high,SumUp is good but charges bit high So if can reduce better for small business,2026-03-26 23:05:06+00:00,7 days ago,['Pricing/Refunds'],False,0,LOW RISK (Healthy)
l elstone,5,Easy to use when transferring to…,Easy to use when transferring to different accounts,2026-03-26 21:55:53+00:00,7 days ago,[],False,0,LOW RISK (Healthy)
EMON HOSSAIN ANTOR,3,Good job so fast transfer100,good job so fast transfer hundred percent 100,2026-03-26 21:48:46+00:00,7 days ago,[],False,0,LOW RISK (Healthy)
Helen Smith,4,Good but Buggs you a lot,Good but Buggs you a lot,2026-03-26 20:31:17+00:00,7 days ago,[],False,0,LOW RISK (Healthy)
Ian Evans,5,I love SumUp,"I love SumUp since I started my own business it has been invaluable, so simple to use and the customer support is top class ",2026-03-26 20:29:53+00:00,7 days ago,['Support failure'],False,0,LOW RISK (Healthy)
Tudor Marian Manciu,1,They closed my account and notice was 2…,"They closed my account and notice was 2 hours and bank holiday I lost too much money because of Sumup Never trust this company, they will let you down",2026-03-26 19:42:25+00:00,7 days ago,['Account/Funds Blocked'],False,60,HIGH RISK (Churn Likely)
Vicky Gregory,4,Happy,"The portable aspect, the versatility of the app and the speed of payouts are great",2026-03-26 19:07:54+00:00,7 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
Silvio Crea,1,I keep asking for help,"I keep asking for help, for different things but after a while they cut the conversation I asked Also several times to call but nothing",2026-03-26 18:49:28+00:00,7 days ago,['Support failure'],False,60,HIGH RISK (Churn Likely)
Paul Finlayson,5,Card payments,Its very handy for older people to pay by card,2026-03-26 18:35:40+00:00,7 days ago,[],False,0,LOW RISK (Healthy)
neil gotsell,1,Horrendous company,Horrendous company Avoid like the plague I was unfortunate enough to be the victim of fraud on my account that I use for the local football club and sum up just don’t care They won’t help me recover the money of £1000 which means the kids will now miss out on so much I’m taking it further as the company is a sham,2026-03-26 18:29:39+00:00,7 days ago,"['Support failure', 'Account/Funds Blocked']",False,60,HIGH RISK (Churn Likely)
Mr A Sayer,5,Easy to use paid out really quick no…,Easy to use paid out really quick no complaints,2026-03-26 17:43:00+00:00,7 days ago,[],False,0,LOW RISK (Healthy)
Vhairi,5,Yeah its good to work and payout ate…,Yeah its good to work and payout ate good,2026-03-26 17:38:11+00:00,7 days ago,[],False,0,LOW RISK (Healthy)
Lena Rosén,1,Their customer support is a terrible…,Their customer support is a terrible experience Service down for 2 days due to their mistake and no indication for when this will be solved No visibility and the same questions are asked over and over again and no solution to the issue in sight,2026-03-26 17:26:05+00:00,7 days ago,['Support failure'],False,60,HIGH RISK (Churn Likely)
Edward,1,Bad service or no service,"Bad service or no service No answers on emails If you have a dispute of service that isnt delivered what you payed on internet with your sumup card You never get an answer If there is a large money transfer, they block it and want extra informatie what is normal What not normal is, that if you deliver the information you hear nothing for days and block your money And the same as with the dispute you can only chat with Sumup and they cant or wont do anything",2026-03-26 17:05:07+00:00,7 days ago,"['Support failure', 'Account/Funds Blocked']",False,60,HIGH RISK (Churn Likely)
Mandeep Singh Marva,5,Good thank s,We’re good service,2026-03-26 16:50:21+00:00,7 days ago,[],False,0,LOW RISK (Healthy)
Luis Alberto Diaz,5,Nice and very happy experience,Nice and very happy experience,2026-03-26 16:36:17+00:00,"Mar 26, 2026",['Technical/Hardware'],False,0,LOW RISK (Healthy)
Pshtewan Rasul,5,Very,"Very, very good service and very good security",2026-03-26 16:30:12+00:00,"Mar 26, 2026",[],False,0,LOW RISK (Healthy)
Melanie,5,Great company,Great company easy to navigate,2026-03-26 16:02:14+00:00,"Mar 26, 2026",[],False,0,LOW RISK (Healthy)
Alice,5,A great asset,"SumUp provides an easy option for customers who want to pay by card Now it’s even better no need to carry with you the card reader, just use the app on the phone For a selfemployed person it’s a great asset",2026-03-26 15:26:19+00:00,"Mar 26, 2026","['Support failure', 'Technical/Hardware']",False,0,LOW RISK (Healthy)
James Walsh,5,Easy,User friendly,2026-03-26 15:15:29+00:00,"Mar 26, 2026",[],False,0,LOW RISK (Healthy)
DeMBOX,2,"2 of the Sumup card reader BLOCKED , forced to buy 3rd one",Well with the payment processing we never had a problem But in the last 9 yrs of business 2 of the Sumup Air devices got blocked automatically and this is my 3ed device which is Sumup solo lite and I am afraid this will also be blocked in next 2 to 3 years What kind of strategy is this to block the old devices and forced your customer to buy new one Customer support is only giving this solution Zero help,2026-03-26 14:52:39+00:00,"Mar 26, 2026","['Support failure', 'Account/Funds Blocked', 'Technical/Hardware']",False,40,MEDIUM RISK (Monitor)
Scott Davidson,5,The best out there,"The best out there , no monthly fee and low percentage, love my one with the built in printer",2026-03-26 14:52:01+00:00,"Mar 26, 2026",['Pricing/Refunds'],False,0,LOW RISK (Healthy)
NASAR IQBAL CHOUDHARY,5,Great work I like it,,2026-03-26 14:35:03+00:00,"Mar 26, 2026",[],False,0,LOW RISK (Healthy)
Colin,5,Helps to increase trade,,2026-03-26 14:32:33+00:00,"Mar 26, 2026",['Support failure'],False,0,LOW RISK (Healthy)
Mohammad Mir,5,Best ever business account and card…,Best ever business account and card machine you can have for your business ❤️ fast easy and professional all with cheap rate 🫶,2026-03-26 14:29:17+00:00,"Mar 26, 2026",['Technical/Hardware'],False,0,LOW RISK (Healthy)
Muhammed Sarfraz,5,Excellent very easy to use thank you,Excellent very easy to use thank you,2026-03-26 14:02:59+00:00,"Mar 26, 2026",[],False,0,LOW RISK (Healthy)
JOHN,5,Very secure and no fixed over heads…,Very secure and no fixed over heads costs,2026-03-26 14:02:22+00:00,"Mar 26, 2026",['Pricing/Refunds'],False,0,LOW RISK (Healthy)
Máire Ledwith,4,"If you change your phone, link the new device to SumUp","I had problems accessing my money, not realising that my new phone  same number needed to be linked All sorted now",2026-03-26 13:51:28+00:00,"Mar 26, 2026","['Support failure', 'Account/Funds Blocked', 'Technical/Hardware']",False,0,LOW RISK (Healthy)
Erika Patricia Mourao Scirea,5,Im really liking SumUp because of its…,Im really liking SumUp because of its low fees and fast deposit processing I recommend it,2026-03-26 13:34:13+00:00,"Mar 26, 2026",['Pricing/Refunds'],False,0,LOW RISK (Healthy)
Brian smith,5,I have used SumUp for a few years now…,"I have used SumUp for a few years now and I’ve never had a problem, very easy to use and I’m looking forward to using the Sage accounting software through the SumUp app Brilliant",2026-03-26 13:14:03+00:00,"Mar 26, 2026",['Technical/Hardware'],False,0,LOW RISK (Healthy)
Ben Lilley,5,Yyyyyyy,Really need yo do this crap Pls stop wasting my time,2026-03-26 13:11:15+00:00,"Mar 26, 2026",[],False,0,LOW RISK (Healthy)
Kingsley Uyi,5,Too good a product and the very best,Too good a product and the very best,2026-03-26 13:02:31+00:00,"Mar 26, 2026",[],False,0,LOW RISK (Healthy)
Amy,5,Easy to use and efficient,Easy to use and efficient,2026-03-26 12:46:23+00:00,"Mar 26, 2026",[],False,0,LOW RISK (Healthy)
WANDA ARMSTRONG,4,Wanda Armstrong,Payment Service User experience,2026-03-26 12:45:36+00:00,"Mar 26, 2026",[],False,0,LOW RISK (Healthy)
David Bidwell,5,Great card machine,"Easy to use ,fast efficient cash transfer,and great tech support when needed once  Makes life so much easier at work",2026-03-26 12:23:32+00:00,"Mar 26, 2026","['Support failure', 'Technical/Hardware']",False,0,LOW RISK (Healthy)
Sabrina,5,Top 👍 application,Top 👍 application,2026-03-26 12:10:51+00:00,"Mar 26, 2026",['Technical/Hardware'],False,0,LOW RISK (Healthy)
Yaser Syed,5,Excilant,Very good nice service,2026-03-26 11:57:20+00:00,"Mar 26, 2026",[],False,0,LOW RISK (Healthy)
Shokat Ali,5,Good,Yes they doing very good,2026-03-26 11:57:05+00:00,"Mar 26, 2026",[],False,0,LOW RISK (Healthy)
Viorel T,1,People take care,"People take care Possibly a scam After sending a 434,64 euros there they close the acces to the App Impossible to acced through the App and impossible to get in touch with them",2026-03-28 08:47:15+00:00,Updated 5 days ago,['Technical/Hardware'],False,60,HIGH RISK (Churn Likely)
Diana Mitasheva,1,Disappointed,"Was happy until I had to order new card It never arrived, and since then i am trying to reach to support through the app, the website, email even social media, but without any response So now my money are stuck in the app without any use Verry dissatisfied",2026-03-26 11:51:30+00:00,"Mar 26, 2026","['Support failure', 'Account/Funds Blocked', 'Technical/Hardware']",False,60,HIGH RISK (Churn Likely)
Kevin Queripel,5,Its efficient,Its efficient,2026-03-26 10:35:38+00:00,"Mar 26, 2026",[],False,0,LOW RISK (Healthy)
Julie Anne Rindom,5,Excellent all round,Excellent all round,2026-03-26 10:33:44+00:00,"Mar 26, 2026",[],False,0,LOW RISK (Healthy)
Cosmin Neculau,5,Very Good,Easy to ise  Fast money,2026-03-26 08:31:18+00:00,"Mar 26, 2026",['Account/Funds Blocked'],False,0,LOW RISK (Healthy)
Marcin Szast,5,Good simple,,2026-03-26 07:54:38+00:00,"Mar 26, 2026",[],False,0,LOW RISK (Healthy)
Shaun Miller,5,Efficient service and payment,,2026-03-26 06:10:00+00:00,"Mar 26, 2026",[],False,0,LOW RISK (Healthy)
Paul Stanton,1,No customer service,No customer service Impossible to speak to a human,2026-03-26 02:22:14+00:00,"Mar 26, 2026",['General Dissatisfaction'],False,60,HIGH RISK (Churn Likely)
Jerry Onyi,4,Good for business,Quick access and easy of doing business is very encouraging,2026-03-26 01:55:54+00:00,"Mar 26, 2026",[],False,0,LOW RISK (Healthy)
Rebecca,1,Unable to get money out of sumup,I cant get our charities money from sum up in to our charity bank account Ive been trying for ages and asking for support to no avail,2026-03-25 23:18:32+00:00,"Mar 26, 2026","['Support failure', 'Account/Funds Blocked']",False,60,HIGH RISK (Churn Likely)
Daz.,5,Used sum up for the last 5 years  does…,Used sum up for the last 5 years  does what I need it to do without any problems,2026-03-25 22:46:03+00:00,"Mar 25, 2026",['Technical/Hardware'],False,0,LOW RISK (Healthy)
yit,1,No customer support at all,No customer support at all had 2 times a chat and no one got back to me,2026-03-25 22:09:09+00:00,"Mar 25, 2026",['Support failure'],False,60,HIGH RISK (Churn Likely)
Ken reilly,5,very easy to use,,2026-03-25 20:40:03+00:00,"Mar 25, 2026",[],False,0,LOW RISK (Healthy)
Kd,5,Its good,"Its good, it has done what its meant to do",2026-03-25 20:21:59+00:00,"Mar 25, 2026",[],False,0,LOW RISK (Healthy)
Paul Wycherley,4,Generally a very good tool for your…,"Generally a very good tool for your business making payments easier, only issue is sometimes had problems with card being accepted for payments occasionally",2026-03-25 19:54:32+00:00,"Mar 25, 2026",['Technical/Hardware'],False,0,LOW RISK (Healthy)
Tony Harrison,5,Paid quickly,"Paid quickly, low rates Whats not to like  👍",2026-03-25 19:29:22+00:00,"Mar 25, 2026",[],False,0,LOW RISK (Healthy)
Prince Prince,5,Good,Good Good good,2026-03-25 18:34:49+00:00,"Mar 25, 2026",[],True,0,LOW RISK (Healthy)
Donatus Nvene,5,"Easy to use ,quick transactions and…","Easy to use ,quick transactions and very transparent I love it",2026-03-25 16:28:49+00:00,"Mar 25, 2026",[],False,0,LOW RISK (Healthy)
RadleyParts,1,Avoid this company,"Avoid this company They locked my account and are holding my money for 60 days with no clear reason This is my business money and it’s affecting my livelihood No proper support, no communication I will be reporting this to Trading Standards",2026-03-25 16:26:39+00:00,"Mar 25, 2026","['Support failure', 'Account/Funds Blocked']",False,60,HIGH RISK (Churn Likely)
Salah Akremi,3,I dislike the rate,,2026-03-25 14:32:53+00:00,"Mar 25, 2026",[],False,0,LOW RISK (Healthy)
J Reyes,5,Convenient,"Convenient, competitively priced and reliable so far",2026-03-25 14:28:05+00:00,"Mar 25, 2026",[],False,0,LOW RISK (Healthy)
Michael Trevelyan,4,Cant be without it,,2026-04-02 16:43:20+00:00,4 minutes ago,[],False,0,LOW RISK (Healthy)
john hutchinson,1,useless customer support,I tried to change the name on my account so my customers see my business name rather than my name After 20 minutes explaining this via on line chat to someone who clearly didnt understand they hung up supply a telephone number,2026-04-02 16:42:45+00:00,5 minutes ago,['Support failure'],False,60,HIGH RISK (Churn Likely)
Claire,5,Quick,"Quick, simple",2026-04-02 16:38:33+00:00,9 minutes ago,[],False,0,LOW RISK (Healthy)
Liam cook,5,Brillant company for my small buisness,,2026-04-02 16:35:54+00:00,12 minutes ago,[],False,0,LOW RISK (Healthy)
salesparsleyandthyme.com,1,"STAY AWAY DREADFUL CUSTOMER SERVICE ,NO…","STAY AWAY DREADFUL CUSTOMER SERVICE ,NO SUPPORT",2026-04-02 14:37:32+00:00,2 hours ago,['Support failure'],True,70,CRITICAL (Immediate Action Needed)
Myles Calvert,5,Great service never had a problem,Great service never had a problem Good little card reader,2026-04-02 08:51:55+00:00,8 hours ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
DARSAKKUMAR Patel,5,Very nice Benk uk,Very nice Brnk uk no 1,2026-04-01 21:42:24+00:00,19 hours ago,[],False,0,LOW RISK (Healthy)
Diana Shepherd,5,So straight forward,So straight forward,2026-04-01 19:51:06+00:00,21 hours ago,[],False,0,LOW RISK (Healthy)
Maleke Ndegala Mbengu,5,Fast transfer,,2026-04-01 19:44:01+00:00,A day ago,[],False,0,LOW RISK (Healthy)
Prakash Dhakal,4,Very nice and good for work,,2026-04-01 19:08:29+00:00,A day ago,[],False,0,LOW RISK (Healthy)
Robert Hope,2,Works ok most of the time but started…,Works ok most of the time but started using my IPhone to take payments and found that Mastercards only works 1 of the time though the iPhone contacted support and got nowhere,2026-04-01 13:38:38+00:00,A day ago,"['Support failure', 'Technical/Hardware']",False,40,MEDIUM RISK (Monitor)
Peshawa ALI,5,Very good,Very good Happy,2026-04-01 12:47:09+00:00,A day ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
Nicholas,5,I have no complaints,I have no complaints The system is great for the craft fairs I do Giving customers the choice to pay cash or card,2026-04-01 12:26:27+00:00,A day ago,[],False,0,LOW RISK (Healthy)
Ram Mo,1,Sum up is theif,"Sum up is theif, be careful they wait for you till you reach amount of £3000 then they will block your account and say oh it’s permpently blocked as account is under reviews after I been using it for 4 month for my furniture business I have receipts and online order to prove the funds but they won’t give you the option to appeal or show approve now all sudden they ignoring me and I can’t log to my account they say it will take 2months to review or find all customer I sold to refund  But how can I do either I can’t even refund to my customer they bologked my account and no one is talking to me on support help line it’s all fake please be careful they theif stealing people money then ignore me to get solutions I will see you guys in court",2026-04-01 11:46:17+00:00,A day ago,"['Support failure', 'Account/Funds Blocked', 'Technical/Hardware', 'Pricing/Refunds']",False,60,HIGH RISK (Churn Likely)
Faruk Ozturk,5,Great service,Great service,2026-04-01 11:26:25+00:00,A day ago,[],True,0,LOW RISK (Healthy)
GreenProject,2,So many problem with the app,"So many problem with the app So many security questions , so many verifying questions, so many face recognition Just want to send my own money to myself and got so many problem with that Fee from space  If thats how gonna looks future we all should will stick to cash",2026-04-01 09:53:03+00:00,A day ago,"['Account/Funds Blocked', 'Technical/Hardware', 'Pricing/Refunds']",False,40,MEDIUM RISK (Monitor)
Danai Riala,5,Great app for my business,Great app for my business Super easy,2026-04-01 09:25:19+00:00,A day ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
Zubaid Mahmud Firoz,5,Good,Very efficient service,2026-04-01 00:52:12+00:00,2 days ago,[],False,0,LOW RISK (Healthy)
Dario Lorini,4,Best card reader ever,"Best card reader ever it reads every card The service overall is not the cheapest, sometimes it forces you to buy another device, but you should give it a try Bank transfers are immediate while incoming sells are not as quick, but they take one hour at most Used for 9 years now",2026-03-31 22:05:11+00:00,2 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
simon Driscoll,1,Nothing worked,,2026-03-31 19:53:29+00:00,2 days ago,['General Dissatisfaction'],False,60,HIGH RISK (Churn Likely)
Tajae Tyrell,1,Paid for a service,"Paid for a service , didn’t get the service I received , sent Sumup evidence and they refused to deal with it or refund me what I lost which is ludicrous and very poor service",2026-03-31 18:12:56+00:00,2 days ago,['Pricing/Refunds'],False,60,HIGH RISK (Churn Likely)
patrice brunet,5,Easy Efficient,Easy Efficient,2026-03-31 17:47:13+00:00,2 days ago,[],False,0,LOW RISK (Healthy)
Richard lee,1,Steer clear of this crowd,"Steer clear of this crowd, totally unprofessional and incompetent, paid out 2 payments to Ryanair and refused to sort it out, contact them yourself I was told, glad to be rid of them 🙏",2026-03-31 17:11:54+00:00,2 days ago,['General Dissatisfaction'],False,60,HIGH RISK (Churn Likely)
Custom Sway,1,disgusting service and trying to control my money,"I have been close to tears many times with sumup and have had to search very hard for a phone number which is just an automated machine that does not connect me to anyone the online chat was, frankly, utterly useless, and seemed like an exercise is causing a paying customer more grief  I joined SumUp in good faith of being a longterm customer, but find that they sell my business information, they do not like to pick up phone calls, they do not want to solve any customer problems, and they have tied up my money I am feeling stuck because I feel they are manipulatively tying up funds of my business and dealing with me at arms length in order to keep control of my funds Disgusted, Frankly with their behaviour  will not be recommending them to any one I know",2026-03-31 15:34:34+00:00,2 days ago,"['Support failure', 'Account/Funds Blocked', 'Technical/Hardware', 'Pricing/Refunds']",False,60,HIGH RISK (Churn Likely)
Durga,5,It made my business very hassle free…,It made my business very hassle free payout were on time and very easy to manage the business cash flow Thanks sumup,2026-03-31 15:29:17+00:00,2 days ago,[],False,0,LOW RISK (Healthy)
Anon,4,Generally good but recently had a tech…,"Generally good but recently had a tech issue, and customer service were so slow to respond I had to work it out for myself",2026-03-31 15:24:30+00:00,2 days ago,[],False,0,LOW RISK (Healthy)
Christine,4,I am happy with the service I have…,I am happy with the service I have received so far No problems,2026-03-31 14:52:58+00:00,2 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
Daniel Huggins,1,"SumUp Broke Promises, Disabled Features, and Now Charges Extra","SumUp Broke Promises, Disabled Features, and Now Charges Extra  I switched from Square to SumUp because their rep promised me the world I deeply regret it Without warning, they disabled my till adjustment feature and now demand £29 a month for what was included Their customer service is a joke—they don’t care and don’t help This is my third complaint in 18 months Over Christmas, my machine failed completely SumUp is a giant taking liberties, monopolizing small businesses while ignoring us I was happy with Square and left only for SumUp’s promises Don’t fall for them They flip functions off without notice, then hold them ransom Avoid SumUp",2026-03-31 14:29:08+00:00,2 days ago,"['Support failure', 'Account/Funds Blocked', 'Technical/Hardware', 'Pricing/Refunds']",False,60,HIGH RISK (Churn Likely)
N F Taxi,5,Very trustable,"Very trustable, fast, works with every card",2026-03-31 13:43:27+00:00,2 days ago,[],False,0,LOW RISK (Healthy)
Sabir Hamza,1,It’s shit never go for it,"It’s shit never go for it , no customer service",2026-03-31 12:16:56+00:00,2 days ago,['General Dissatisfaction'],False,60,HIGH RISK (Churn Likely)
Tarkan Sert,5,Beste Kartenzahlungs system ever,"Beste Kartenzahlungs system ever Onlineshop, Rechnung Tools alles Bombe",2026-03-31 12:06:30+00:00,2 days ago,[],False,0,LOW RISK (Healthy)
Mat,5,Super super,,2026-03-31 12:05:30+00:00,2 days ago,[],False,0,LOW RISK (Healthy)
Ahsan Javaid,5,Excellent service,Excellent service,2026-03-31 11:52:53+00:00,2 days ago,[],False,0,LOW RISK (Healthy)
George,5,Very useful,Very helpful but dot accept some cards,2026-03-31 10:10:13+00:00,2 days ago,['Support failure'],False,0,LOW RISK (Healthy)
Hasan Adam,1,I don’t like to,I don’t like to,2026-03-31 07:33:40+00:00,2 days ago,['General Dissatisfaction'],False,60,HIGH RISK (Churn Likely)
Imran Shoukat,5,Gr8 service,,2026-03-31 02:18:36+00:00,3 days ago,[],True,0,LOW RISK (Healthy)
Annalisa Slocombe,5,Great,Great Easy to use Fast payments,2026-03-30 23:06:09+00:00,3 days ago,[],False,0,LOW RISK (Healthy)
Steve Lee,1,Been waiting for over 2 weeks on a…,"Been waiting for over 2 weeks on a response about a fraudulent payment, but received nothing  These useless, incompetent idiots dont care  AVOID",2026-03-30 20:56:09+00:00,3 days ago,['General Dissatisfaction'],False,60,HIGH RISK (Churn Likely)
Daniele Monaco,4,basic bank account that i use for…,basic bank account that i use for banking operations and to send payment links its fast and simple to use the embedded ecommerce feature is fine for small business dont expect prolevel function unless you pay for the plus version,2026-03-30 20:16:27+00:00,3 days ago,[],False,0,LOW RISK (Healthy)
Khurram Hayat,5,Easy to open hassle free business…,Easy to open hassle free business account for startup or full grown business,2026-03-30 20:10:52+00:00,3 days ago,[],False,0,LOW RISK (Healthy)
Mr ian miller,5,Brilliant fantastic,Brilliant fantastic,2026-03-30 20:02:41+00:00,3 days ago,[],False,0,LOW RISK (Healthy)
Saleh Mahmoodi,5,Thank you for your support,Thank you for your support,2026-03-30 17:56:59+00:00,3 days ago,['Support failure'],False,0,LOW RISK (Healthy)
olasunkanmi oduwole,4,Better,Company doing well,2026-03-30 17:38:10+00:00,3 days ago,[],False,0,LOW RISK (Healthy)
Chris Stanford,1,"Waste of time, effort and money","Waste of time, effort and money  The first time that Id tried to establish some means for receiving payments I wish Id read other reviews on this site before opting for Sumup Guidance received with the terminal was minimal subsequent efforts to register for an account were convoluted and unsuccessful Idve welcomed some guidance from the support centre but this appeared to be no more than an unhelpful chat bot It would be marvellous if Sumup would make contact and offer some assistance to a novice such as myself, but Ill not hold my breath As such, Im afraid I can neither use, nor recommend, Sumup ever again",2026-03-30 17:23:45+00:00,3 days ago,"['Support failure', 'Account/Funds Blocked', 'Technical/Hardware']",False,60,HIGH RISK (Churn Likely)
Ursula Riedl,5,the best chose in payment,the best chose in payment,2026-03-30 16:19:33+00:00,3 days ago,[],False,0,LOW RISK (Healthy)
Tino EDO,5,HAPPY DAYS,I feel great Because Sumup is great,2026-03-30 16:46:34+00:00,Updated 3 days ago,"['Technical/Hardware', 'Pricing/Refunds']",False,0,LOW RISK (Healthy)
MICRO MEMBRANE SYSTEMS,1,Terrible waste of time with their…,"Terrible waste of time with their customer service All I wanted to do was to find out why my products we not being listed into their online store Spent 30 minutes going around in circles with a chatbot Eventually got passed to one human, then another and then another Eventually cut off due to lost connection Problem not solved at all Whole morning wasted to no avail I gave up",2026-03-30 15:35:54+00:00,3 days ago,"['Support failure', 'Technical/Hardware']",False,60,HIGH RISK (Churn Likely)
John Graham,5,I love using SumUp as my payments…,"I love using SumUp as my payments system, 100 Happy",2026-03-30 12:37:54+00:00,3 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
John Urquhart,5,Sum up app,We find the sum up great easy to use and compact we use in daily and think it is great,2026-03-30 11:15:09+00:00,3 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
Pavlos Teriakis,5,Amazing,"Accepts all card with no problems , small commission and also mentions any single detail  How much was the transaction and the exact amount of price that you get",2026-03-30 10:40:01+00:00,3 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
Bacim Krouna,5,Good bank…,,2026-03-30 10:39:58+00:00,3 days ago,[],False,0,LOW RISK (Healthy)
Mariona,1,Very disappointed about SumUp,"Very disappointed about SumUp The device stopped working after a few weeks, I can only accept payment through my mobile phone in my shop I made several resets, etc, without success I used the chat, tried to contact support by phone, wrote emails I claimed several times and got no response Only one call from a robot AI two weeks ago asking if I prefer to talk to a human who was supposed to call me back I asked for it and never got a call or a response, no email, no message, no call I bought the device for my Shop and cannot use it I have finally requested a device now from my bank and will be obliged to quit sumup due to lack of support Seemed to be very promising, as before I was a customer I was contacted personally several times by a sales person, after I bought the device no way to get in touch to anyone It‘s a pity Very disappointing",2026-03-30 09:45:30+00:00,3 days ago,"['Support failure', 'Technical/Hardware']",False,60,HIGH RISK (Churn Likely)
Eye test,5,Next day instant payout,,2026-03-30 08:54:04+00:00,3 days ago,[],False,0,LOW RISK (Healthy)
Simon Rushton,5,We’ve used SumUp for nearly four years,"We’ve used SumUp for nearly four years, very glad we chose them then as the range and sophistication of their products and services have grown substantially Considering the complexity of managing all that change the systems have been robust and reliable Payouts are prompt All good",2026-03-30 08:49:08+00:00,3 days ago,[],False,0,LOW RISK (Healthy)
waraporn west,5,Esay to ues helpfull my business thanks,Esay to ues helpfull my business thanks,2026-03-30 08:49:04+00:00,3 days ago,['Support failure'],False,0,LOW RISK (Healthy)
Swanbarberltd,5,Way easier than most of the machines…,Way easier than most of the machines you guys use 👌👌,2026-03-30 02:48:42+00:00,4 days ago,['Technical/Hardware'],True,0,LOW RISK (Healthy)
Mahfooz Rood,5,Excellent work,Excellent work,2026-03-30 00:45:56+00:00,4 days ago,[],False,0,LOW RISK (Healthy)
Daniel S,1,Absolutely the worst company I have…,Absolutely the worst company I have tried to deal with Im trying to join the service Ive been trying to reach them for 3 days First day I pushed 1 to stay in the queue and get called back No call ever came Ive tried calling 23 times and waiting on the line and after waiting for 20 minute it automatically goes to the survey of my call which never happened Ive emailed them and have not received any replies If this is their customer service and sales how does this company exist It would be amazing if I could even talk to someone there Avoid at all costs,2026-03-29 21:46:55+00:00,4 days ago,"['Technical/Hardware', 'Pricing/Refunds']",False,60,HIGH RISK (Churn Likely)
Noel Keane,5,One of the best things business wise I…,One of the best things business wise I have done is sign up to Sum up I have been with them a number of years always on the mark,2026-03-29 20:43:38+00:00,4 days ago,[],False,0,LOW RISK (Healthy)
DANIEL PHILIP FISHER,5,Brilliant and simple,Brilliant and simple,2026-03-29 19:08:05+00:00,4 days ago,[],False,0,LOW RISK (Healthy)
Merat Hendi,5,fantastic and quick,,2026-03-29 17:01:35+00:00,4 days ago,[],False,0,LOW RISK (Healthy)
William Stein,5,Sum up,Application très simple,2026-03-29 14:21:28+00:00,4 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
Patrick Fairhead,5,Help guys really help if ya get stuck…,Help guys really help if ya get stuck but works well,2026-03-29 13:17:33+00:00,4 days ago,['Support failure'],False,0,LOW RISK (Healthy)
Damian Kelly,5,Simple to use,Simple to use Get my money next day Would be lost without it,2026-03-29 13:09:52+00:00,4 days ago,['Account/Funds Blocked'],False,0,LOW RISK (Healthy)
Paul,5,Enables us to take card,,2026-03-29 11:47:40+00:00,4 days ago,[],False,0,LOW RISK (Healthy)
